Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,1992,1992,°c,1.008,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,1993,1993,°c,-1.609,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,1994,1994,°c,0.249,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,1995,1995,°c,0.331,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,1996,1996,°c,-1.035,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,1997,1997,°c,2.98,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,1998,1998,°c,1.21,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,1999,1999,°c,2.191,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2000,2000,°c,2.21,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2001,2001,°c,-0.278,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2002,2002,°c,1.919,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2003,2003,°c,3.308,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2004,2004,°c,2.419,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2005,2005,°c,0.549,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2006,2006,°c,-1.788,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2007,2007,°c,0.529,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2008,2008,°c,-5.619,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2009,2009,°c,1.762,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2010,2010,°c,4.256,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2011,2011,°c,1.427,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2012,2012,°c,-1.589,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2013,2013,°c,0.051,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2014,2014,°c,1.925,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2015,2015,°c,2.042,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2016,2016,°c,2.06,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2017,2017,°c,0.686,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2018,2018,°c,2.54,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2019,2019,°c,2.306,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2020,2020,°c,0.271,E,Estimated value
