year,ch4_mean,ch4_gr
1961,1259.85,12.35
1962,1272.2,12.35
1963,1285.3,13.1
1964,1298.4,13.1
1965,1312.2,13.8
1966,1326.0,13.8
1967,1340.65,14.65
1968,1355.3,14.65
1969,1370.65,15.35
1970,1386.0,15.35
1971,1401.75,15.75
1972,1417.5,15.75
1973,1433.4,15.9
1974,1449.3,15.9
1975,1465.4,16.1
1976,1481.5,16.1
1977,1497.75,16.25
1978,1514.0,16.25
1979,1530.55,16.55
1980,1547.1,16.55
1981,1564.0,16.9
1982,1580.9,16.9
1983,1614.2,33.3
1984,1644.84,30.64
1985,1657.29,12.45
1986,1670.09,12.8
1987,1682.7,12.61
1988,1693.21,10.51
1989,1704.52,11.31
1990,1714.47,9.95
1991,1724.76,10.29
1992,1735.48,10.72
1993,1736.48,1.0
1994,1742.05,5.57
1995,1748.88,6.83
1996,1751.3,2.42
1997,1754.51,3.21
1998,1765.53,11.02
1999,1772.3,6.77
2000,1773.22,0.92
2001,1771.29,-1.93
2002,1772.66,1.37
2003,1777.33,4.67
2004,1777.02,-0.31
2005,1774.25,-2.77
2006,1774.94,0.69
2007,1781.38,6.44
2008,1787.01,5.63
2009,1793.54,6.53
2010,1798.89,5.35
2011,1803.08,4.19
2012,1808.12,5.04
2013,1813.43,5.31
2014,1822.54,9.11
2015,1834.21,11.67
2016,1843.12,8.91
2017,1849.58,6.46
2018,1857.34,7.76
2019,1866.58,9.24
2020,1878.72,12.14
