# The missing values of the country and year tuples listed was defaulted to 0 (Temp_Change) and 14 (Temp_Absol) 
Country,Year,Temp_Change_C,Temp_Absol_C
American Samoa,1997,,
American Samoa,1998,,
American Samoa,2009,,
Antigua and Barbuda,2001,,
Cabo Verde,1975,,
Cabo Verde,1984,,
Cayman Islands,1961,,
Cayman Islands,1964,,
Cayman Islands,1965,,
Cayman Islands,1974,,
Cayman Islands,2000,,
Cayman Islands,2001,,
Cayman Islands,2002,,
Cayman Islands,2003,,
Cayman Islands,2004,,
Cocos (Keeling) Islands,1969,,
Cocos (Keeling) Islands,1970,,
Comoros,1985,,
Congo,1997,,
Cook Islands,1998,,
Cook Islands,2014,,
Cook Islands,2015,,
Cook Islands,2016,,
Djibouti,2012,,
Djibouti,2020,,
Equatorial Guinea,1991,,
Equatorial Guinea,1997,,
French Southern Territories,1986,,
French Southern Territories,1990,,
Jamaica,1977,,
Jamaica,1978,,
Jamaica,1979,,
Kiribati,2004,,
Kiribati,2005,,
Maldives,1961,,
Maldives,1963,,
Maldives,1964,,
Maldives,1965,,
Maldives,1970,,
Maldives,1971,,
Mayotte,1976,,
Mayotte,1977,,
Montserrat,2001,,
Norfolk Island,1974,,
Norfolk Island,1975,,
Norfolk Island,1997,,
Norfolk Island,1998,,
Norfolk Island,1999,,
Norfolk Island,2009,,
Norfolk Island,2010,,
Panama,1961,,
Panama,1962,,
Panama,1963,,
Panama,1964,,
R?union,1981,,
R?union,2011,,
Saint Kitts and Nevis,2001,,
Samoa,1997,,
Samoa,1998,,
Samoa,2009,,
Sao Tome and Principe,1990,,
Sao Tome and Principe,1991,,
Sao Tome and Principe,1996,,
Sao Tome and Principe,1997,,
Sierra Leone,2000,,
Solomon Islands,2001,,
Solomon Islands,2002,,
Solomon Islands,2008,,
South Georgia and the South Sandwich Islands,1964,,
South Georgia and the South Sandwich Islands,1982,,
South Georgia and the South Sandwich Islands,1983,,
South Georgia and the South Sandwich Islands,1998,,
South Georgia and the South Sandwich Islands,1999,,
South Georgia and the South Sandwich Islands,2000,,
South Georgia and the South Sandwich Islands,2004,,
