# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the scientific
# community in the belief that their wide dissemination will lead to
# greater understanding and new scientific insights. To ensure that GML
# receives fair credit for their work please include relevant citation
# text in publications. We encourage users to contact the data providers,
# who can provide detailed information about the measurements and
# scientific insight.  In cases where the data are central to a
# publication, coauthorship for data providers may be appropriate.
#
#
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Fri Mar 14 08:56:21 2025
#
#
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
#
# Uncertainties in the global monthly means are estimated using two
# terms: The first is a bootstrap (resampling) method that varies the
# sites in our network. Each pseudo-network contains the same number of
# sites as our actual NOAA ESRL cooperative global air sampling network,
# but some are repeated and some are excluded. The second term is a
# Monte Carlo method that randomly modifies the data to account for
# measurement uncertainty. In both cases, 100 globally-averaged time
# series are created. Standard deviations of the monthly means are
# calculated, and the two terms (network and analytical) are taken in
# quadrature to give the  reported uncertainties. A default value (-9.9)
# indicates the uncertainty has not yet been calculated for that month.
# Please see Dlugokencky et al., 1994, JGR, vol. 99, 17021-17043, for a
# complete discussion.
#
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
year,month,decimal,average,average_unc,trend,trend_unc

1983,7,1983.542,1625.96,2.19,1635.07,1.42
1983,8,1983.625,1628.05,2.72,1635.59,1.36
1983,9,1983.708,1638.43,2.16,1636.17,1.29
1983,10,1983.792,1644.80,1.40,1636.81,1.21
1983,11,1983.875,1642.61,0.71,1637.52,1.12
1983,12,1983.958,1639.54,0.92,1638.31,1.03
1984,1,1984.042,1638.73,2.10,1639.18,0.93
1984,2,1984.125,1638.82,2.42,1640.09,0.85
1984,3,1984.208,1640.87,1.65,1641.06,0.78
1984,4,1984.292,1643.96,1.79,1642.11,0.71
1984,5,1984.375,1643.14,1.04,1643.19,0.65
1984,6,1984.458,1639.75,0.79,1644.31,0.61
1984,7,1984.542,1638.00,1.00,1645.44,0.58
1984,8,1984.625,1641.69,1.45,1646.60,0.57
1984,9,1984.708,1650.61,1.07,1647.74,0.56
1984,10,1984.792,1654.59,1.47,1648.87,0.56
1984,11,1984.875,1653.78,0.95,1649.98,0.56
1984,12,1984.958,1656.20,1.10,1651.08,0.57
1985,1,1985.042,1655.60,1.18,1652.16,0.57
1985,2,1985.125,1652.24,1.42,1653.18,0.57
1985,3,1985.208,1654.62,1.07,1654.17,0.57
1985,4,1985.292,1658.18,0.76,1655.19,0.56
1985,5,1985.375,1655.87,1.15,1656.19,0.56
1985,6,1985.458,1650.06,1.31,1657.19,0.56
1985,7,1985.542,1646.81,1.31,1658.19,0.56
1985,8,1985.625,1652.24,1.32,1659.20,0.57
