Year,Month,Extent_North,Extent_South,Extent_Global,Date
1979,1,15.414,5.402,20.816,1979-01-01
1979,2,16.175,3.141,19.316,1979-02-01
1979,3,16.342,3.999,20.341,1979-03-01
1979,4,15.447,7.486,22.932,1979-04-01
1979,5,13.857,10.827,24.684,1979-05-01
1979,6,12.53,14.187,26.717,1979-06-01
1979,7,10.311,16.517,26.828,1979-07-01
1979,8,8.041,17.698,25.739,1979-08-01
1979,9,7.051,18.196,25.247,1979-09-01
1979,10,8.748,17.82,26.568,1979-10-01
1979,11,10.943,15.337,26.28,1979-11-01
1979,12,13.336,9.236,22.572,1979-12-01
1980,1,14.862,4.562,19.424,1980-01-01
1980,2,15.955,2.818,18.774,1980-02-01
1980,3,16.041,3.295,19.336,1980-03-01
1980,4,15.429,5.405,20.834,1980-04-01
1980,5,13.793,8.857,22.649,1980-05-01
1980,6,12.205,12.49,24.695,1980-06-01
1980,7,10.1,15.564,25.664,1980-07-01
1980,8,7.984,17.806,25.79,1980-08-01
1980,9,7.667,18.817,26.484,1980-09-01
1980,10,9.183,18.568,27.751,1980-10-01
1980,11,11.383,16.133,27.516,1980-11-01
1980,12,13.593,10.156,23.749,1980-12-01
1981,1,14.91,4.412,19.322,1981-01-01
1981,2,15.604,2.874,18.478,1981-02-01
1981,3,15.632,3.392,19.023,1981-03-01
1981,4,15.01,5.838,20.848,1981-04-01
1981,5,13.802,9.355,23.156,1981-05-01
1981,6,12.43,13.109,25.538,1981-06-01
1981,7,10.271,16.039,26.31,1981-07-01
1981,8,7.844,17.736,25.581,1981-08-01
1981,9,7.138,18.596,25.735,1981-09-01
1981,10,8.856,18.294,27.15,1981-10-01
1981,11,10.929,16.111,27.04,1981-11-01
1981,12,13.341,10.895,24.236,1981-12-01
1982,1,15.177,5.26,20.437,1982-01-01
1982,2,15.974,3.128,19.102,1982-02-01
1982,3,16.044,4.288,20.332,1982-03-01
1982,4,15.466,7.723,23.189,1982-04-01
1982,5,13.973,10.758,24.732,1982-05-01
1982,6,12.476,13.417,25.893,1982-06-01
1982,7,10.367,15.872,26.239,1982-07-01
1982,8,8.14,17.789,25.929,1982-08-01
1982,9,7.302,18.353,25.655,1982-09-01
1982,10,9.421,17.788,27.209,1982-10-01
1982,11,11.627,15.537,27.164,1982-11-01
1982,12,13.642,9.216,22.857,1982-12-01
