# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the scientific
# community in the belief that their wide dissemination will lead to
# greater understanding and new scientific insights. To ensure that GML
# receives fair credit for their work please include relevant citation
# text in publications. We encourage users to contact the data providers,
# who can provide detailed information about the measurements and
# scientific insight.  In cases where the data are central to a
# publication, coauthorship for data providers may be appropriate.
#
#
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Mon Apr 14 08:21:51 2025
#
#
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
#
# Uncertainties in the global monthly means are estimated using two
# terms: The first is a bootstrap (resampling) method that varies the
# sites in our network. Each pseudo-network contains the same number of
# sites as our actual NOAA ESRL cooperative global air sampling network,
# but some are repeated and some are excluded. The second term is a
# Monte Carlo method that randomly modifies the data to account for
# measurement uncertainty. In both cases, 100 globally-averaged time
# series are created. Standard deviations of the monthly means are
# calculated, and the two terms (network and analytical) are taken in
# quadrature to give the  reported uncertainties. A default value (-9.9)
# indicates the uncertainty has not yet been calculated for that month.
# Please see Dlugokencky et al., 1994, JGR, vol. 99, 17021-17043, for a
# complete discussion.
#
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
year,month,decimal,average,average_unc,trend,trend_unc
1983,7,1983.542,1625.98,2.19,1635.12,1.42
1983,8,1983.625,1628.03,2.72,1635.63,1.36
1983,9,1983.708,1638.43,2.16,1636.20,1.29
1983,10,1983.792,1644.80,1.40,1636.84,1.21
1983,11,1983.875,1642.59,0.71,1637.55,1.12
1983,12,1983.958,1639.57,0.92,1638.33,1.03
1984,1,1984.042,1638.77,2.10,1639.19,0.93
1984,2,1984.125,1638.83,2.42,1640.10,0.85
1984,3,1984.208,1640.90,1.65,1641.07,0.78
1984,4,1984.292,1643.98,1.79,1642.11,0.71
1984,5,1984.375,1643.11,1.04,1643.19,0.65
1984,6,1984.458,1639.74,0.79,1644.30,0.61
1984,7,1984.542,1637.99,1.00,1645.44,0.58
1984,8,1984.625,1641.66,1.45,1646.60,0.57
1984,9,1984.708,1650.61,1.07,1647.74,0.56
1984,10,1984.792,1654.59,1.47,1648.87,0.56
1984,11,1984.875,1653.78,0.95,1649.98,0.56
1984,12,1984.958,1656.24,1.10,1651.08,0.57
1985,1,1985.042,1655.60,1.18,1652.16,0.57
1985,2,1985.125,1652.21,1.42,1653.18,0.57
1985,3,1985.208,1654.63,1.07,1654.18,0.57
1985,4,1985.292,1658.20,0.76,1655.19,0.56
1985,5,1985.375,1655.85,1.15,1656.20,0.56
1985,6,1985.458,1650.06,1.31,1657.20,0.56
1985,7,1985.542,1646.82,1.31,1658.19,0.56
1985,8,1985.625,1652.23,1.32,1659.21,0.57
1985,9,1985.708,1662.50,1.23,1660.21,0.58
1985,10,1985.792,1667.50,1.07,1661.22,0.59
1985,11,1985.875,1666.79,1.19,1662.25,0.61
1985,12,1985.958,1666.07,0.92,1663.28,0.62
1986,1,1986.042,1666.28,1.03,1664.34,0.65
1986,2,1986.125,1666.89,1.77,1665.35,0.67
1986,3,1986.208,1669.29,1.43,1666.37,0.69
1986,4,1986.292,1670.81,1.49,1667.44,0.71
1986,5,1986.375,1668.42,0.89,1668.51,0.73
1986,6,1986.458,1664.78,1.15,1669.59,0.75
1986,7,1986.542,1662.34,1.25,1670.67,0.77
1986,8,1986.625,1664.36,1.68,1671.78,0.78
1986,9,1986.708,1672.58,1.51,1672.87,0.78
1986,10,1986.792,1678.67,1.43,1673.97,0.78
1986,11,1986.875,1678.97,1.64,1675.06,0.77
1986,12,1986.958,1679.13,1.17,1676.15,0.75
1987,1,1987.042,1679.37,1.14,1677.26,0.73
1987,2,1987.125,1679.01,1.12,1678.30,0.70
1987,3,1987.208,1680.09,1.02,1679.32,0.67
1987,4,1987.292,1681.38,0.97,1680.37,0.63
1987,5,1987.375,1681.82,1.04,1681.38,0.59
1987,6,1987.458,1680.00,1.14,1682.38,0.55
1987,7,1987.542,1675.98,0.87,1683.34,0.51
1987,8,1987.625,1677.14,0.92,1684.28,0.47
1987,9,1987.708,1685.60,1.02,1685.18,0.45
1987,10,1987.792,1691.58,0.94,1686.04,0.43
1987,11,1987.875,1691.17,0.87,1686.88,0.42
1987,12,1987.958,1690.52,0.94,1687.70,0.42
1988,1,1988.042,1692.03,0.88,1688.52,0.44
1988,2,1988.125,1692.62,1.05,1689.31,0.46
1988,3,1988.208,1691.37,1.05,1690.10,0.48
1988,4,1988.292,1690.06,1.00,1690.91,0.51
1988,5,1988.375,1689.02,0.99,1691.74,0.54
1988,6,1988.458,1687.05,1.16,1692.59,0.56
1988,7,1988.542,1685.78,0.90,1693.47,0.57
1988,8,1988.625,1689.12,1.10,1694.39,0.58
1988,9,1988.708,1695.90,1.04,1695.33,0.59
1988,10,1988.792,1701.06,1.15,1696.29,0.59
1988,11,1988.875,1702.83,1.25,1697.28,0.58
1988,12,1988.958,1701.97,1.10,1698.28,0.58
1989,1,1989.042,1700.55,0.94,1699.32,0.57
1989,2,1989.125,1701.05,1.34,1700.31,0.56
1989,3,1989.208,1702.49,1.61,1701.31,0.55
1989,4,1989.292,1703.60,1.19,1702.33,0.55
1989,5,1989.375,1703.34,0.53,1703.33,0.55
1989,6,1989.458,1700.22,0.94,1704.32,0.55
1989,7,1989.542,1698.21,0.89,1705.28,0.55
1989,8,1989.625,1701.97,0.97,1706.23,0.56
1989,9,1989.708,1707.19,1.01,1707.13,0.57
1989,10,1989.792,1710.52,1.12,1708.00,0.59
1989,11,1989.875,1713.11,0.94,1708.83,0.61
1989,12,1989.958,1713.24,0.97,1709.62,0.63
1990,1,1990.042,1712.11,1.16,1710.40,0.66
1990,2,1990.125,1713.48,1.29,1711.10,0.69
1990,3,1990.208,1714.41,1.19,1711.78,0.72
1990,4,1990.292,1712.52,1.15,1712.46,0.74
1990,5,1990.375,1710.54,1.07,1713.12,0.76
1990,6,1990.458,1708.33,0.84,1713.77,0.78
1990,7,1990.542,1706.41,0.76,1714.42,0.79
1990,8,1990.625,1710.09,1.48,1715.11,0.79
1990,9,1990.708,1717.58,1.56,1715.81,0.79
1990,10,1990.792,1722.06,1.18,1716.55,0.79
1990,11,1990.875,1723.50,0.94,1717.35,0.78
1990,12,1990.958,1723.33,1.05,1718.21,0.77
1991,1,1991.042,1721.53,1.20,1719.16,0.76
1991,2,1991.125,1721.16,1.24,1720.15,0.75
1991,3,1991.208,1722.12,1.02,1721.20,0.74
1991,4,1991.292,1722.51,1.09,1722.37,0.72
1991,5,1991.375,1722.17,1.01,1723.60,0.71
1991,6,1991.458,1718.99,1.10,1724.88,0.70
1991,7,1991.542,1716.06,0.95,1726.19,0.69
1991,8,1991.625,1719.22,1.10,1727.52,0.68
1991,9,1991.708,1726.21,1.65,1728.81,0.67
1991,10,1991.792,1732.78,0.98,1730.05,0.66
1991,11,1991.875,1737.46,0.93,1731.20,0.65
1991,12,1991.958,1739.63,1.04,1732.25,0.64
1992,1,1992.042,1738.95,1.18,1733.19,0.63
1992,2,1992.125,1737.38,1.28,1733.95,0.61
1992,3,1992.208,1736.96,0.96,1734.57,0.60
1992,4,1992.292,1736.64,0.56,1735.04,0.59
1992,5,1992.375,1734.91,0.78,1735.37,0.58
1992,6,1992.458,1731.56,1.12,1735.56,0.56
1992,7,1992.542,1728.80,1.12,1735.63,0.55
1992,8,1992.625,1730.29,0.96,1735.61,0.54
1992,9,1992.708,1734.60,0.72,1735.53,0.53
1992,10,1992.792,1737.66,0.89,1735.41,0.51
1992,11,1992.875,1739.21,1.20,1735.28,0.50
1992,12,1992.958,1738.59,1.03,1735.17,0.49
1993,1,1993.042,1735.77,0.88,1735.10,0.48
1993,2,1993.125,1734.36,1.03,1735.09,0.47
1993,3,1993.208,1735.52,0.99,1735.15,0.46
1993,4,1993.292,1736.69,0.86,1735.28,0.46
1993,5,1993.375,1734.94,0.78,1735.50,0.45
1993,6,1993.458,1730.83,0.88,1735.79,0.45
1993,7,1993.542,1728.04,0.98,1736.16,0.45
1993,8,1993.625,1731.18,0.86,1736.59,0.46
1993,9,1993.708,1738.48,0.86,1737.06,0.47
1993,10,1993.792,1743.35,0.88,1737.58,0.49
1993,11,1993.875,1745.16,0.71,1738.12,0.51
1993,12,1993.958,1744.28,0.93,1738.69,0.53
1994,1,1994.042,1741.42,0.95,1739.28,0.54
1994,2,1994.125,1740.86,1.01,1739.85,0.55
1994,3,1994.208,1741.97,0.85,1740.43,0.56
1994,4,1994.292,1741.95,0.67,1741.03,0.56
1994,5,1994.375,1740.62,0.99,1741.64,0.55
1994,6,1994.458,1736.92,1.27,1742.25,0.55
1994,7,1994.542,1732.43,1.11,1742.87,0.54
1994,8,1994.625,1734.08,1.01,1743.51,0.53
1994,9,1994.708,1742.96,0.76,1744.13,0.53
1994,10,1994.792,1749.83,0.75,1744.75,0.53
1994,11,1994.875,1751.25,0.95,1745.36,0.53
1994,12,1994.958,1751.61,1.00,1745.96,0.54
1995,1,1995.042,1751.12,1.14,1746.53,0.54
1995,2,1995.125,1749.48,1.08,1747.05,0.55
1995,3,1995.208,1749.02,0.70,1747.52,0.55
1995,4,1995.292,1749.43,0.75,1747.97,0.55
1995,5,1995.375,1747.62,1.01,1748.37,0.54
1995,6,1995.458,1742.84,0.99,1748.72,0.53
1995,7,1995.542,1740.17,0.88,1749.02,0.52
