year,month,extent_north,extent_south,extent_global,change_north,change_south,change_global,month_cat
1979,1,15.414,5.402,20.816,0.0,0.0,0.0,January
1979,2,16.175,3.141,19.316,0.0,0.0,0.0,February
1979,3,16.342,3.999,20.341,0.0,0.0,0.0,March
1979,4,15.447,7.486,22.933,0.0,0.0,0.0,April
1979,5,13.857,10.827,24.684,0.0,0.0,0.0,May
1979,6,12.53,14.187,26.717,0.0,0.0,0.0,June
1979,7,10.311,16.517,26.828,0.0,0.0,0.0,July
1979,8,8.041,17.698,25.739,0.0,0.0,0.0,August
1979,9,7.051,18.196,25.247,0.0,0.0,0.0,September
1979,10,8.748,17.82,26.568,0.0,0.0,0.0,October
1979,11,10.943,15.337,26.28,0.0,0.0,0.0,November
1979,12,13.336,9.236,22.572,0.0,0.0,0.0,December
1980,1,14.862,4.562,19.424,-0.552,-0.84,-1.392,January
1980,2,15.955,2.818,18.773,-0.22,-0.323,-0.543,February
1980,3,16.041,3.295,19.336,-0.301,-0.704,-1.005,March
1980,4,15.429,5.405,20.834,-0.018,-2.081,-2.099,April
1980,5,13.793,8.857,22.65,-0.064,-1.97,-2.034,May
1980,6,12.205,12.49,24.695,-0.325,-1.697,-2.022,June
1980,7,10.1,15.564,25.664,-0.211,-0.953,-1.164,July
1980,8,7.984,17.806,25.79,-0.057,0.108,0.051,August
1980,9,7.667,18.817,26.484,0.616,0.621,1.237,September
1980,10,9.183,18.568,27.751,0.435,0.748,1.183,October
1980,11,11.383,16.133,27.516,0.44,0.796,1.236,November
1980,12,13.593,10.156,23.749,0.257,0.92,1.177,December
1981,1,14.91,4.412,19.322,-0.504,-0.99,-1.494,January
1981,2,15.604,2.874,18.478,-0.571,-0.267,-0.838,February
1981,3,15.632,3.392,19.024,-0.71,-0.607,-1.317,March
1981,4,15.01,5.838,20.848,-0.437,-1.648,-2.085,April
1981,5,13.802,9.355,23.157,-0.055,-1.472,-1.527,May
1981,6,12.43,13.109,25.539,-0.1,-1.078,-1.178,June
1981,7,10.271,16.039,26.31,-0.04,-0.478,-0.518,July
1981,8,7.844,17.736,25.58,-0.197,0.038,-0.159,August
1981,9,7.138,18.596,25.734,0.087,0.4,0.487,September
1981,10,8.856,18.294,27.15,0.108,0.474,0.582,October
1981,11,10.929,16.111,27.04,-0.014,0.774,0.76,November
