year,extent_north,extent_south,extent_global,change_north,change_south,change_global
1979,12.35,11.656,24.006,-0.087,-0.143,-0.23
1980,12.348,11.206,23.554,-0.088,-0.593,-0.682
1981,12.147,11.387,23.533,-0.29,-0.413,-0.702
1982,12.468,11.595,24.062,0.031,-0.204,-0.173
1983,12.353,11.344,23.698,-0.083,-0.455,-0.538
1984,11.92,11.428,23.348,-0.517,-0.371,-0.887
1985,12.016,11.569,23.585,-0.421,-0.23,-0.651
1986,12.224,11.044,23.268,-0.212,-0.755,-0.967
1987,12.268,11.405,23.673,-0.169,-0.394,-0.562
1988,12.19,11.497,23.687,-0.247,-0.302,-0.549
1989,11.987,11.381,23.368,-0.45,-0.418,-0.868
1990,11.718,11.365,23.082,-0.719,-0.434,-1.153
1991,11.77,11.498,23.268,-0.667,-0.301,-0.967
1992,12.122,11.374,23.496,-0.315,-0.425,-0.74
1993,11.947,11.37,23.317,-0.49,-0.429,-0.919
1994,12.032,11.728,23.76,-0.404,-0.072,-0.476
1995,11.438,11.748,23.187,-0.998,-0.051,-1.049
1996,11.848,11.743,23.592,-0.588,-0.056,-0.644
1997,11.692,11.341,23.032,-0.745,-0.458,-1.203
1998,11.782,11.689,23.471,-0.655,-0.11,-0.765
1999,11.713,11.712,23.426,-0.723,-0.087,-0.81
2000,11.519,11.724,23.243,-0.917,-0.075,-0.992
2001,11.622,11.628,23.25,-0.814,-0.172,-0.986
2002,11.385,11.176,22.561,-1.052,-0.623,-1.675
2003,11.419,11.924,23.343,-1.017,0.125,-0.892
2004,11.251,11.938,23.189,-1.186,0.139,-1.047
2005,10.928,11.648,22.575,-1.509,-0.152,-1.661
2006,10.794,11.412,22.206,-1.642,-0.387,-2.03
2007,10.498,11.637,22.135,-1.938,-0.162,-2.101
2008,10.99,12.213,23.203,-1.447,0.414,-1.032
2009,10.956,11.999,22.955,-1.481,0.2,-1.281
2010,10.734,12.058,22.792,-1.702,0.258,-1.444
2011,10.506,11.45,21.956,-1.931,-0.349,-2.28
2012,10.42,11.981,22.401,-2.017,0.182,-1.835
2013,10.919,12.474,23.393,-1.517,0.675,-0.842
2014,10.812,12.727,23.539,-1.624,0.928,-0.697
2015,10.589,12.366,22.955,-1.848,0.567,-1.281
2016,10.176,11.178,21.353,-2.261,-0.622,-2.882
2017,10.415,10.702,21.118,-2.022,-1.097,-3.118
2018,10.378,10.952,21.33,-2.058,-0.847,-2.906
2019,10.225,10.83,21.055,-2.212,-0.969,-3.181
2020,10.164,11.578,21.742,-2.272,-0.222,-2.494
