year,month,extent_north,area_north,extent_south,area_south,extent_global,change_north,change_south,change_global,month_cat
1979,1,15.41,12.41,5.4,3.47,20.81,0.0,0.0,0.0,January
1980,1,14.86,11.94,4.56,3.08,19.42,-0.55,-0.84,-1.39,January
1981,1,14.91,11.91,4.41,2.84,19.32,-0.5,-0.99,-1.49,January
1982,1,15.18,12.19,5.26,3.25,20.44,-0.23,-0.14,-0.37,January
1983,1,14.94,12.01,4.77,3.21,19.71,-0.47,-0.63,-1.1,January
1984,1,14.47,11.68,4.78,2.93,19.25,-0.94,-0.62,-1.56,January
1985,1,14.72,11.69,4.46,2.87,19.18,-0.69,-0.94,-1.63,January
1986,1,14.89,11.88,5.42,3.43,20.31,-0.52,0.02,-0.5,January
1987,1,14.97,11.9,5.13,3.31,20.1,-0.44,-0.27,-0.71,January
1988,1,14.96,12.54,4.935,3.24,19.895,-0.45,-0.465,-0.915,January
1989,1,14.95,13.18,4.74,3.17,19.69,-0.46,-0.66,-1.12,January
1990,1,14.78,12.8,4.87,3.39,19.65,-0.63,-0.53,-1.16,January
1991,1,14.36,12.57,5.34,3.52,19.7,-1.05,-0.06,-1.11,January
1992,1,14.64,12.61,4.75,3.24,19.39,-0.77,-0.65,-1.42,January
1993,1,14.9,12.93,4.41,2.55,19.31,-0.51,-0.99,-1.5,January
1994,1,14.73,12.88,4.97,3.37,19.7,-0.68,-0.43,-1.11,January
1995,1,14.59,12.79,5.64,3.73,20.23,-0.82,0.24,-0.58,January
1996,1,14.18,12.15,5.87,3.55,20.05,-1.23,0.47,-0.76,January
1997,1,14.42,12.39,4.2,2.77,18.62,-0.99,-1.2,-2.19,January
1998,1,14.72,12.81,4.46,3.04,19.18,-0.69,-0.94,-1.63,January
1999,1,14.36,12.6,4.82,3.11,19.18,-1.05,-0.58,-1.63,January
2000,1,14.22,12.3,4.75,2.92,18.97,-1.19,-0.65,-1.84,January
2001,1,14.2,12.35,5.23,3.64,19.43,-1.21,-0.17,-1.38,January
2002,1,14.27,12.26,4.74,2.95,19.01,-1.14,-0.66,-1.8,January
2003,1,14.39,12.29,5.77,4.11,20.16,-1.02,0.37,-0.65,January
2004,1,14.03,12.26,5.59,3.8,19.62,-1.38,0.19,-1.19,January
2005,1,13.66,11.92,4.75,3.18,18.41,-1.75,-0.65,-2.4,January
2006,1,13.47,11.65,4.16,2.81,17.63,-1.94,-1.24,-3.18,January
2007,1,13.7,11.86,4.67,3.0,18.37,-1.71,-0.73,-2.44,January
2008,1,13.89,12.3,6.41,4.07,20.3,-1.52,1.01,-0.51,January
2009,1,13.91,12.32,5.71,3.5,19.62,-1.5,0.31,-1.19,January
2010,1,13.74,12.04,4.96,3.33,18.7,-1.67,-0.44,-2.11,January
2011,1,13.46,11.83,4.51,3.05,17.97,-1.95,-0.89,-2.84,January
2012,1,13.73,12.21,5.65,3.71,19.38,-1.68,0.25,-1.43,January
2013,1,13.7,12.02,5.54,3.94,19.24,-1.71,0.14,-1.57,January
2014,1,13.65,12.1,6.33,4.38,19.98,-1.76,0.93,-0.83,January
2015,1,13.6,12.17,6.85,4.34,20.45,-1.81,1.45,-0.36,January
2016,1,13.46,11.8,4.69,3.03,18.15,-1.95,-0.71,-2.66,January
2017,1,13.19,11.37,3.78,2.56,16.97,-2.22,-1.62,-3.84,January
2018,1,13.08,11.7,4.21,2.69,17.29,-2.33,-1.19,-3.52,January
2019,1,13.57,12.14,3.87,2.66,17.44,-1.84,-1.53,-3.37,January
2020,1,13.64,12.15,4.6,3.09,18.24,-1.77,-0.8,-2.57,January
1979,2,16.18,13.18,3.14,2.11,19.32,0.0,0.0,0.0,February
1980,2,15.96,12.9,2.82,1.85,18.78,-0.22,-0.32,-0.54,February
1981,2,15.6,12.53,2.87,1.74,18.47,-0.58,-0.27,-0.85,February
1982,2,15.97,12.87,3.13,1.86,19.1,-0.21,-0.01,-0.22,February
1983,2,16.01,12.94,3.07,1.91,19.08,-0.17,-0.07,-0.24,February
1984,2,15.3,12.26,2.68,1.75,17.98,-0.88,-0.46,-1.34,February
1985,2,15.47,12.48,2.84,1.83,18.31,-0.71,-0.3,-1.01,February
1986,2,15.78,12.62,3.19,2.0,18.97,-0.4,0.05,-0.35,February
1987,2,16.05,13.02,3.25,2.0,19.3,-0.13,0.11,-0.02,February
1988,2,15.58,13.57,2.89,1.9,18.47,-0.6,-0.25,-0.85,February
1989,2,15.5,13.36,2.98,2.03,18.48,-0.68,-0.16,-0.84,February
1990,2,15.58,13.42,3.04,2.21,18.62,-0.6,-0.1,-0.7,February
1991,2,15.25,13.22,3.16,2.09,18.41,-0.93,0.02,-0.91,February
1992,2,15.46,13.58,2.84,1.86,18.3,-0.72,-0.3,-1.02,February
1993,2,15.69,13.61,2.48,1.37,18.17,-0.49,-0.66,-1.15,February
1994,2,15.56,13.52,3.2,2.22,18.76,-0.62,0.06,-0.56,February
1995,2,15.23,13.37,3.56,2.19,18.79,-0.95,0.42,-0.53,February
1996,2,15.15,12.98,2.98,1.77,18.13,-1.03,-0.16,-1.19,February
1997,2,15.44,13.44,2.49,1.72,17.93,-0.74,-0.65,-1.39,February
1998,2,15.75,13.77,2.99,1.87,18.74,-0.43,-0.15,-0.58,February
1999,2,15.31,13.45,2.97,1.77,18.28,-0.87,-0.17,-1.04,February
2000,2,15.14,13.09,2.91,1.72,18.05,-1.04,-0.23,-1.27,February
2001,2,15.21,13.22,3.65,2.44,18.86,-0.97,0.51,-0.46,February
2002,2,15.34,13.42,2.96,1.82,18.3,-0.84,-0.18,-1.02,February
2003,2,15.19,13.23,3.79,2.66,18.98,-0.99,0.65,-0.34,February
2004,2,14.91,12.94,3.58,2.36,18.49,-1.27,0.44,-0.83,February
2005,2,14.37,12.35,2.97,1.97,17.34,-1.81,-0.17,-1.98,February
2006,2,14.32,12.35,2.65,1.76,16.97,-1.86,-0.49,-2.35,February
2007,2,14.51,12.58,2.9,1.94,17.41,-1.67,-0.24,-1.91,February
