Year,Extent_Global,Extent_North,Extent_South,Change_Global,Change_North,Change_South
1979,24.00333333333333,12.349583333333332,11.653833333333331,0.0,0.0,0.0
1980,23.5555,12.349583333333332,11.205916666666669,-0.44783333333333175,0.0,-0.4479166666666625
1981,23.53475,12.14725,11.387583333333334,-0.46858333333333135,-0.20233333333333192,-0.26624999999999766
1982,24.0615,12.467416666666669,11.594083333333332,0.058166666666668476,0.11783333333333701,-0.059749999999999304
1983,23.696416666666664,12.353,11.343416666666668,-0.30691666666666606,0.0034166666666681778,-0.31041666666666323
1984,23.348916666666668,11.920416666666666,11.4285,-0.6544166666666626,-0.42916666666666536,-0.2253333333333316
1985,23.58558333333333,12.016,11.569583333333334,-0.4177500000000016,-0.33358333333333157,-0.08424999999999727
1986,23.26825,12.224583333333332,11.043833333333334,-0.735083333333332,-0.125,-0.6099999999999977
1987,23.84708333333333,12.183416666666666,11.663666666666666,-0.15625,-0.16616666666666546,0.009833333333334693
1988,23.604666666666663,12.201583333333334,11.403166666666666,-0.39866666666666717,-0.1479999999999979,-0.2506666666666657
1989,23.365916666666667,11.986833333333337,11.379166666666668,-0.6374166666666632,-0.3627499999999948,-0.27466666666666306
1990,23.08025,11.716500000000002,11.36375,-0.9230833333333308,-0.6330833333333299,-0.2900833333333317
1991,23.268583333333336,11.77025,11.49825,-0.7347499999999947,-0.5793333333333308,-0.15558333333333074
1992,23.495166666666663,12.121166666666667,11.374166666666667,-0.5081666666666678,-0.22841666666666427,-0.27966666666666384
1993,23.3165,11.94525,11.371250000000002,-0.686833333333329,-0.4043333333333319,-0.28258333333332963
1994,23.758916666666668,12.032166666666669,11.726916666666668,-0.2444166666666625,-0.3174166666666629,0.0730833333333365
1995,23.18625,11.437916666666666,11.74825,-0.8170833333333292,-0.9116666666666653,0.09441666666666926
1996,23.59483333333333,11.850416666666666,11.744583333333331,-0.4085000000000001,-0.49916666666666565,0.09074999999999989
1997,23.03075,11.689916666666669,11.340666666666666,-0.9725833333333291,-0.6596666666666628,-0.3131666666666657
1998,23.470666666666663,11.780416666666667,11.690333333333331,-0.5326666666666675,-0.5691666666666642,0.0365000000000002
1999,23.424166666666665,11.712583333333331,11.71175,-0.5791666666666657,-0.6370000000000005,0.05791666666666906
2000,23.242,11.518833333333331,11.72325,-0.7613333333333294,-0.8307500000000001,0.0694166666666689
2001,23.25025,11.621916666666666,11.628166666666669,-0.7530833333333291,-0.727666666666666,-0.025666666666662508
2002,22.559916666666663,11.38575,11.174166666666666,-1.4434166666666677,-0.9638333333333318,-0.4796666666666649
2003,23.343166666666665,11.419083333333331,11.924083333333334,-0.6601666666666652,-0.9305000000000003,0.27025000000000254
2004,23.19008333333333,11.251416666666666,11.938666666666668,-0.81325,-1.0981666666666658,0.2848333333333368
2005,22.575666666666667,10.927833333333332,11.647916666666667,-1.4276666666666635,-1.4217499999999994,-0.005916666666664128
2006,22.20758333333333,10.794,11.413666666666666,-1.7957500000000017,-1.555583333333331,-0.2401666666666653
2007,22.136,10.499083333333331,11.637166666666666,-1.867333333333331,-1.8505000000000003,-0.01666666666666572
2008,23.205583333333333,10.990166666666669,12.215416666666668,-0.7977499999999971,-1.3594166666666627,0.5615833333333367
2009,22.9535,10.955666666666666,11.997916666666669,-1.049833333333332,-1.3939166666666658,0.3440833333333373
2010,22.7905,10.73425,12.056333333333331,-1.2128333333333288,-1.6153333333333322,0.40249999999999986
2011,21.956916666666668,10.5075,11.449416666666666,-2.046416666666662,-1.8420833333333313,-0.20441666666666514
2012,22.40033333333333,10.419333333333332,11.980916666666666,-1.6030000000000015,-1.9302499999999991,0.3270833333333343
2013,23.395333333333337,10.920583333333331,12.475,-0.6079999999999934,-1.4290000000000003,0.8211666666666684
2014,23.538166666666665,10.812583333333334,12.725833333333334,-0.46516666666666495,-1.5369999999999973,1.0720000000000027
2015,22.954166666666666,10.588666666666668,12.3655,-1.0491666666666646,-1.7609166666666631,0.7116666666666696
2016,21.35475,10.176166666666669,11.1785,-2.648583333333331,-2.1734166666666628,-0.4753333333333316
2017,21.117166666666662,10.41525,10.701916666666667,-2.886166666666668,-1.9343333333333312,-0.9519166666666639
2018,21.239166666666662,10.349916666666669,10.889416666666667,-2.764166666666668,-1.9996666666666627,-0.7644166666666639
